nameOfIssuer,titleOfClass,cusip,value,shrsOrPrnAmt,investmentDiscretion,votingAuthority,sshPrnamt,sshPrnamtType,cik,filingDate,reportDate,fund_name,putCall,figi,otherManager
ALPHABET INC,CAP STK CL A,02079K305,242670111,"{'sshPrnamt': '2339440', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '2339440', 'Shared': '0', 'None': '0'}",2339440,SH,1358706,2023-05-12,2023-03-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
ASBURY AUTOMOTIVE GROUP INC,COM,043436104,442793400,"{'sshPrnamt': '2108540', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '2108540', 'Shared': '0', 'None': '0'}",2108540,SH,1358706,2023-05-12,2023-03-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
CAMPING WORLD HLDGS INC,CL A,13462K109,106620823,"{'sshPrnamt': '5108808', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '5108808', 'Shared': '0', 'None': '0'}",5108808,SH,1358706,2023-05-12,2023-03-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
CANTALOUPE INC,COM,138103106,40926000,"{'sshPrnamt': '7180000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '7180000', 'Shared': '0', 'None': '0'}",7180000,SH,1358706,2023-05-12,2023-03-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
COUPANG INC,CL A,22266T109,215039424,"{'sshPrnamt': '13439964', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '13439964', 'Shared': '0', 'None': '0'}",13439964,SH,1358706,2023-05-12,2023-03-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
ENERGY TRANSFER L P,COM UT LTD PTN,29273V100,222393995,"{'sshPrnamt': '17834322', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '17834322', 'Shared': '0', 'None': '0'}",17834322,SH,1358706,2023-05-12,2023-03-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
LITHIA MTRS INC,COM,536797103,538229997,"{'sshPrnamt': '2351068', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '2351068', 'Shared': '0', 'None': '0'}",2351068,SH,1358706,2023-05-12,2023-03-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
META PLATFORMS INC,CL A,30303M102,456064785,"{'sshPrnamt': '2151858', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '2151858', 'Shared': '0', 'None': '0'}",2151858,SH,1358706,2023-05-12,2023-03-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
NUVATION BIO INC,COM CL A,67080N101,6327112,"{'sshPrnamt': '3811513', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '3811513', 'Shared': '0', 'None': '0'}",3811513,SH,1358706,2023-05-12,2023-03-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
TEMPUR SEALY INTL INC,COM,88023U101,142164000,"{'sshPrnamt': '3600000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '3600000', 'Shared': '0', 'None': '0'}",3600000,SH,1358706,2023-05-12,2023-03-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
TEVA PHARMACEUTICAL INDS LTD,SPONSORED ADS,881624209,70502932,"{'sshPrnamt': '7966433', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '7966433', 'Shared': '0', 'None': '0'}",7966433,SH,1358706,2023-05-12,2023-03-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
TRANSDIGM GROUP INC,COM,893641100,269898128,"{'sshPrnamt': '366187', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '366187', 'Shared': '0', 'None': '0'}",366187,SH,1358706,2023-05-12,2023-03-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
U HAUL HOLDING COMPANY,COM SER N,023586506,189939150,"{'sshPrnamt': '3663243', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '0', 'None': '3663243'}",3663243,SH,1358706,2023-05-12,2023-03-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
U HAUL HOLDING COMPANY,COM,023586100,24279161,"{'sshPrnamt': '407027', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '407027', 'Shared': '0', 'None': '0'}",407027,SH,1358706,2023-05-12,2023-03-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
USCB FINANCIAL HOLDINGS INC,CLASS A COM,90355N101,6419451,"{'sshPrnamt': '649085', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '649085', 'Shared': '0', 'None': '0'}",649085,SH,1358706,2023-05-12,2023-03-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
WILLIS TOWERS WATSON PLC LTD,SHS,G96629103,187492550,"{'sshPrnamt': '806836', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '806836', 'Shared': '0', 'None': '0'}",806836,SH,1358706,2023-05-12,2023-03-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
ALPHABET INC,CAP STK CL A,02079K305,206408791,"{'sshPrnamt': '2339440', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '2339440', 'Shared': '0', 'None': '0'}",2339440,SH,1358706,2023-02-10,2022-12-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
ASBURY AUTOMOTIVE GROUP INC,COM,043436104,379690218,"{'sshPrnamt': '2118216', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '2118216', 'Shared': '0', 'None': '0'}",2118216,SH,1358706,2023-02-10,2022-12-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
CAMPING WORLD HLDGS INC,CL A,13462K109,114028595,"{'sshPrnamt': '5108808', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '5108808', 'Shared': '0', 'None': '0'}",5108808,SH,1358706,2023-02-10,2022-12-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
CANTALOUPE INC,COM,138103106,13441500,"{'sshPrnamt': '3090000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '3090000', 'Shared': '0', 'None': '0'}",3090000,SH,1358706,2023-02-10,2022-12-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
COUPANG INC,CL A,22266T109,197701870,"{'sshPrnamt': '13439964', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '13439964', 'Shared': '0', 'None': '0'}",13439964,SH,1358706,2023-02-10,2022-12-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
ENERGY TRANSFER L P,COM UT LTD PTN,29273V100,211693402,"{'sshPrnamt': '17834322', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '17834322', 'Shared': '0', 'None': '0'}",17834322,SH,1358706,2023-02-10,2022-12-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
LITHIA MTRS INC,COM,536797103,481357662,"{'sshPrnamt': '2351068', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '2351068', 'Shared': '0', 'None': '0'}",2351068,SH,1358706,2023-02-10,2022-12-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
META PLATFORMS INC,CL A,30303M102,261948170,"{'sshPrnamt': '2176734', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '2176734', 'Shared': '0', 'None': '0'}",2176734,SH,1358706,2023-02-10,2022-12-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
NUVATION BIO INC,COM CL A,67080N101,7318105,"{'sshPrnamt': '3811513', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '3811513', 'Shared': '0', 'None': '0'}",3811513,SH,1358706,2023-02-10,2022-12-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
TEMPUR SEALY INTL INC,COM,88023U101,123588000,"{'sshPrnamt': '3600000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '3600000', 'Shared': '0', 'None': '0'}",3600000,SH,1358706,2023-02-10,2022-12-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
TEVA PHARMACEUTICAL INDS LTD,SPONSORED ADS,881624209,145307729,"{'sshPrnamt': '15932865', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '15932865', 'Shared': '0', 'None': '0'}",15932865,SH,1358706,2023-02-10,2022-12-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
TRANSDIGM GROUP INC,COM,893641100,230569645,"{'sshPrnamt': '366187', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '366187', 'Shared': '0', 'None': '0'}",366187,SH,1358706,2023-02-10,2022-12-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
U HAUL HOLDING COMPANY,COM SER N,023586506,201405100,"{'sshPrnamt': '3663243', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '0', 'None': '3663243'}",3663243,SH,1358706,2023-02-10,2022-12-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
U HAUL HOLDING COMPANY,COM,023586100,24498955,"{'sshPrnamt': '407027', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '407027', 'Shared': '0', 'None': '0'}",407027,SH,1358706,2023-02-10,2022-12-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
USCB FINANCIAL HOLDINGS INC,CLASS A COM,90355N101,7918837,"{'sshPrnamt': '649085', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '649085', 'Shared': '0', 'None': '0'}",649085,SH,1358706,2023-02-10,2022-12-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
WILLIS TOWERS WATSON PLC LTD,SHS,G96629103,197335949,"{'sshPrnamt': '806836', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '806836', 'Shared': '0', 'None': '0'}",806836,SH,1358706,2023-02-10,2022-12-31,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
ADOBE SYSTEMS INCORPORATED,COM,00724F101,462089845,"{'sshPrnamt': '1199081', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '1199081', 'Shared': '0', 'None': '0'}",1199081,SH,1112520,2023-05-12,2023-03-31,AKRE CAPITAL MANAGEMENT,,,
